Bucket,Method,Baseline,Metric,n,mean_benefit,ci95_lo,ci95_hi,wins
all,CycleAdapt-Final,F5-TTS,simwavlm,175,0.0083,-0.0003,0.0174,95
all,CycleAdapt-Final,F5-TTS,simecapa,175,0.0056,-0.0074,0.0183,91
all,CycleAdapt-Final,F5-TTS,wer,175,-0.0253,-0.1482,0.0959,78
all,CycleAdapt-Final,F5-TTS,f0pcc,144,-0.0068,-0.0647,0.0525,72
all,CycleAdapt-Final,F5-TTS,utmos,175,0.0135,-0.0260,0.0520,91
all,CycleAdapt-Final,F5 + verifier/ASR rerank,simwavlm,175,0.0019,-0.0003,0.0044,91
all,CycleAdapt-Final,F5 + verifier/ASR rerank,simecapa,175,0.0032,-0.0023,0.0088,97
all,CycleAdapt-Final,F5 + verifier/ASR rerank,wer,175,-0.1429,-0.2523,-0.0466,59
all,CycleAdapt-Final,F5 + verifier/ASR rerank,f0pcc,142,0.0045,-0.0384,0.0495,75
all,CycleAdapt-Final,F5 + verifier/ASR rerank,utmos,174,0.0194,-0.0022,0.0414,95
all,Identity-only final,F5-TTS,simwavlm,175,0.0093,0.0005,0.0191,100
all,Identity-only final,F5-TTS,simecapa,175,0.0044,-0.0084,0.0173,92
all,Identity-only final,F5-TTS,wer,175,0.0312,-0.0722,0.1337,85
all,Identity-only final,F5-TTS,f0pcc,143,-0.0391,-0.0924,0.0175,68
all,Identity-only final,F5-TTS,utmos,174,0.0097,-0.0333,0.0501,92
all,Identity-only final,F5 + verifier/ASR rerank,simwavlm,175,0.0030,0.0003,0.0056,98
all,Identity-only final,F5 + verifier/ASR rerank,simecapa,175,0.0019,-0.0047,0.0084,100
all,Identity-only final,F5 + verifier/ASR rerank,wer,175,-0.0863,-0.1707,-0.0108,66
all,Identity-only final,F5 + verifier/ASR rerank,f0pcc,143,-0.0186,-0.0651,0.0277,70
all,Identity-only final,F5 + verifier/ASR rerank,utmos,174,0.0154,-0.0088,0.0400,89
zero-shot,CycleAdapt-Final,F5-TTS,simwavlm,125,0.0045,-0.0049,0.0139,65
zero-shot,CycleAdapt-Final,F5-TTS,simecapa,125,-0.0021,-0.0183,0.0140,62
zero-shot,CycleAdapt-Final,F5-TTS,wer,125,-0.0664,-0.2267,0.0720,51
zero-shot,CycleAdapt-Final,F5-TTS,f0pcc,103,-0.0112,-0.0818,0.0592,50
zero-shot,CycleAdapt-Final,F5-TTS,utmos,125,-0.0032,-0.0514,0.0440,59
zero-shot,CycleAdapt-Final,F5 + verifier/ASR rerank,simwavlm,125,0.0033,0.0004,0.0065,67
zero-shot,CycleAdapt-Final,F5 + verifier/ASR rerank,simecapa,125,0.0032,-0.0038,0.0107,72
zero-shot,CycleAdapt-Final,F5 + verifier/ASR rerank,wer,125,-0.1476,-0.2938,-0.0281,42
zero-shot,CycleAdapt-Final,F5 + verifier/ASR rerank,f0pcc,101,0.0063,-0.0477,0.0643,52
zero-shot,CycleAdapt-Final,F5 + verifier/ASR rerank,utmos,124,0.0240,-0.0006,0.0499,68
zero-shot,Identity-only final,F5-TTS,simwavlm,125,0.0050,-0.0044,0.0148,68
zero-shot,Identity-only final,F5-TTS,simecapa,125,-0.0024,-0.0186,0.0134,61
zero-shot,Identity-only final,F5-TTS,wer,125,0.0365,-0.0842,0.1586,55
zero-shot,Identity-only final,F5-TTS,f0pcc,103,-0.0507,-0.1116,0.0144,47
zero-shot,Identity-only final,F5-TTS,utmos,124,0.0025,-0.0495,0.0544,63
zero-shot,Identity-only final,F5 + verifier/ASR rerank,simwavlm,125,0.0038,0.0002,0.0073,70
zero-shot,Identity-only final,F5 + verifier/ASR rerank,simecapa,125,0.0029,-0.0062,0.0119,78
zero-shot,Identity-only final,F5 + verifier/ASR rerank,wer,125,-0.0447,-0.1310,0.0394,45
zero-shot,Identity-only final,F5 + verifier/ASR rerank,f0pcc,102,-0.0215,-0.0837,0.0415,47
zero-shot,Identity-only final,F5 + verifier/ASR rerank,utmos,124,0.0296,0.0019,0.0571,67
in-distrib,CycleAdapt-Final,F5-TTS,simwavlm,50,0.0177,0.0022,0.0404,30
