method,pair,simwavlm_mean,n
b1_f5,en_de,0.9105338859558105,25
b1_f5,en_es,0.8965279674530029,25
b1_f5,en_fr,0.9173095297813415,25
b1_f5,en_hi,0.8937075519561768,25
b1_f5,en_ja,0.8443047904968262,25
b1_f5,zh_ja,0.8781814122200012,25
cycleadapt_final,en_de,0.9400480222702027,25
cycleadapt_final,en_es,0.9321781468391418,25
cycleadapt_final,en_fr,0.9410210704803467,25
cycleadapt_final,en_hi,0.9060509419441223,25
cycleadapt_final,en_ja,0.8888798785209656,25
cycleadapt_final,zh_ja,0.8876184177398682,25
