method,pair,n,simwavlm,simecapa,f0pcc,wer,utmos
a1_no_phi_test,en_en,25,"0.518 [0.485,0.554]","-0.049 [-0.069,-0.028]","0.015 [-0.136,0.144]","0.995 [0.988,1.000]","1.147 [1.139,1.154]"
a1_no_phi_test,en_zh,25,"0.520 [0.486,0.555]","-0.048 [-0.070,-0.025]","0.019 [-0.127,0.149]","1.174 [1.062,1.310]","1.155 [1.149,1.161]"
a1_no_phi_test,zh_en,25,"0.406 [0.385,0.428]","-0.046 [-0.056,-0.036]","-0.017 [-0.100,0.073]","1.004 [0.993,1.020]","1.157 [1.143,1.168]"
a1_no_phi_test,zh_zh,25,"0.409 [0.389,0.428]","-0.046 [-0.056,-0.037]","0.028 [-0.062,0.121]","1.156 [0.995,1.389]","1.146 [1.136,1.155]"
a1_no_phi_test,en_es,25,"0.519 [0.487,0.554]","-0.048 [-0.068,-0.026]","0.014 [-0.134,0.141]","0.974 [0.963,0.984]","1.156 [1.150,1.162]"
a1_no_phi_test,en_fr,25,"0.518 [0.486,0.551]","-0.047 [-0.067,-0.026]","0.014 [-0.147,0.156]","0.999 [0.997,1.000]","1.155 [1.147,1.161]"
a1_no_phi_test,en_de,25,"0.515 [0.485,0.547]","-0.049 [-0.069,-0.028]","0.042 [-0.095,0.163]","0.997 [0.992,1.000]","1.156 [1.151,1.160]"
a1_no_phi_test,en_hi,25,"0.506 [0.473,0.541]","-0.046 [-0.066,-0.024]","0.009 [-0.142,0.138]","0.962 [0.945,0.976]","1.155 [1.151,1.159]"
a1_no_phi_test,en_ja,25,"0.517 [0.484,0.552]","-0.048 [-0.070,-0.027]","0.052 [-0.096,0.186]","0.933 [0.922,0.943]","1.152 [1.145,1.159]"
a1_no_phi_test,zh_ja,25,"0.390 [0.372,0.407]","-0.047 [-0.056,-0.038]","0.014 [-0.062,0.097]","0.943 [0.937,0.951]","1.152 [1.143,1.160]"
a3_no_cycle,en_en,25,"0.520 [0.487,0.556]","-0.049 [-0.069,-0.027]","0.035 [-0.106,0.153]","0.995 [0.988,1.000]","1.154 [1.147,1.162]"
a3_no_cycle,en_zh,25,"0.518 [0.484,0.554]","-0.048 [-0.069,-0.026]","0.033 [-0.113,0.170]","1.131 [1.043,1.247]","1.154 [1.144,1.162]"
a3_no_cycle,zh_en,25,"0.403 [0.380,0.425]","-0.047 [-0.057,-0.038]","-0.006 [-0.088,0.077]","0.998 [0.993,1.000]","1.150 [1.138,1.161]"
